Component Name,Usage Count,"Sizing, layout - Resizes sensibly (including sensible default size)","Sizing, layout - Uses Autolayout where appropriate","Sizing, layout - has appropriate, spacers/padding (toggle-able where appropriate)","Sizing, layout - Respects the grid (line height, paragraph spacing, list spacing)","Sizing, layout - proportions of drag-resizable components are constrained where appropriate","Naming - Text layers have descriptive names (or at least are named Text, Text 2 etc.",Accessibility - WCAG2 A contrast,Lint - No design lint (check with Design Lint plugin),Lint - Components all the way down (where appropriate),Properties and variants - It’s clear how to swap any images the component contains,Properties and variants - ‘Expose child element properties’ (design panel › ‘Properties’) is selected,Properties and variants - ‘Simplify all instances’ is selected,Properties and variants - Uses Figma tokens,Instances - There is  at least one instance of the component in existence,"Deprecated components - If it’s deprecated, it says why and what to do instead of using it"
Example page,1,,,,,,,,,,,,,,,
Example search results page,0,,,,,,,,,,,,,,,
Login/user not found,0,,,,,,,,,,,,,,,
Login/user not found,0,,,,,,,,,,,,,,,
Example registeration form,0,,,,,,,,,,,,,,,
Login form,0,,,,,,,,,,,,,,,
Content frame with slots,0,,,,,,,,,,,,,,,
<nav>,4,,,,,,,,,,,,,,,
Avatar pre 8 July 2024,0,,,,,,,,,,,,,,,
Full name pre 8 July 2024,0,,,,,,,,,,,,,,,
Breadcrumb separator (unpublished helper subcomponent),15,,,,,,,,,,,,,,,
<footer>,4,,,,,,,,,,,,,,,
Pagination,1,,,,,,,,,,,,,,,
Example vertical menu,0,,,,,,,,,,,,,,,
Example vertical menu,1,,,,,,,,,,,,,,,
Example breadcrumb menu,0,,,,,,,,,,,,,,,
Status box,4,,,,,,,,,,,,,,,
Slot,7,,,,,,,,,,,,,,,
Progress bar,0,,,,,,,,,,,,,,,
Icon/Placeholder,11,,,,,,,,,,,,,,,
Delete button,0,,,,,,,,,,,,,,,
Play symbol,3,,,,,,,,,,,,,,,
Popover/Expand signal/White,0,,,,,,,,,,,,,,,
Notification dot,0,,,,,,,,,,,,,,,
Icon/✔,0,,,,,,,,,,,,,,,
Icon/Diagonal cross (close),3,,,,,,,,,,,,,,,
Icon/Alert,3,,,,,,,,,,,,,,,
••• (overflow),0,,,,,,,,,,,,,,,
Example radio button set,1,,,,,,,,,,,,,,,
Tag group,0,,,,,,,,,,,,,,,
Tag,2,,,,,,,,,,,,,,,
Switch with labels,0,,,,,,,,,,,,,,,
Slider,0,,,,,,,,,,,,,,,
Caret 2020-11-13,19,,,,,,,,,,,,,,,
<label> ❗️ depricated 2024-08-02,2,,,,,,,,,,,,,,,
Vertical scroll bar,0,,,,,,,,,,,,,,,
Browser window example,0,,,,,,,,,,,,,,,
Browser window background (unpublished subcomponent),1,,,,,,,,,,,,,,,
figcaption,8,,,,,,,,,,,,,,,
<p>,133,,,,,,,,,,,,,,,
<h1>,28,,,,,,,,,,,,,,,
<h2>,103,,,,,,,,,,,,,,,
<h3>,35,,,,,,,,,,,,,,,
Video,2,,,,,,,,,,,,,,,
Icon/Dropdown indicator,36,,,,,,,,,,,,,,,
Example menu,1,,,,,,,,,,,,,,,
Fancy frame instructions (unpublished subcomponent),3,,,,,,,,,,,,,,,
Well in container,0,,,,,,,,,,,,,,,
Well background (unpublished subcomponent),1,,,,,,,,,,,,,,,
Well with hook in container,0,,,,,,,,,,,,,,,
Drop-down with hook,0,,,,,,,,,,,,,,,
Calendar,0,,,,,,,,,,,,,,,
<input> with drop-down,0,,,,,,,,,,,,,,,
Group,3,,,,,,,,,,,,,,,
Rich drop-down,0,,,,,,,,,,,,,,,
Menu/Menu,0,,,,,,,,,,,,,,,
Menu/Menu item,3,,,,,,,,,,,,,,,
Menu/Hovered item,5,,,,,,,,,,,,,,,
Menu/Item divider,2,,,,,,,,,,,,,,,
Menu/Item group header,1,,,,,,,,,,,,,,,
Menu/Submenu item,2,,,,,,,,,,,,,,,
Menu item,10,,,,,,,,,,,,,,,
Menu divider,2,,,,,,,,,,,,,,,
Example table,2,,,,,,,,,,,,,,,
Table cell style (unpublished subcomponent),131,,,,,,,,,,,,,,,
Example chart,2,,,,,,,,,,,,,,,
Marker with label/Marker,7,,,,,,,,,,,,,,,
Vertical origin,3,,,,,,,,,,,,,,,
Highlight,0,,,,,,,,,,,,,,,
Example timeline 🟢❇️,2,,,,,,,,,,,,,,,
Date division,98,,,,,,,,,,,,,,,
Timeline today marker,3,,,,,,,,,,,,,,,
Document cover,0,,,,,,,,,,,,,,,
Document section title page,0,,,,,,,,,,,,,,,
Document page,0,,,,,,,,,,,,,,,
Document end page,0,,,,,,,,,,,,,,,
Document section,0,,,,,,,,,,,,,,,
Document header,0,,,,,,,,,,,,,,,
Document footer,0,,,,,,,,,,,,,,,
Annotation,4,,,,,,,,,,,,,,,
Arrow,0,,,,,,,,,,,,,,,
Example page presented in bezel,0,,,,,,,,,,,,,,,
Personal menu,6,,,,,,,,,,,,,,,
Icon badge,0,,,,,,,,,,,,,,,
